3.66,0.030002,0.12642
3.68,0.03247,0.12018
3.7,0.034809,0.11345
3.72,0.037008,0.10627
3.74,0.03906,0.09866
3.76,0.040955,0.090658
3.78,0.042686,0.082294
3.8,0.044246,0.073601
3.82,0.04563,0.064613
3.84,0.046831,0.055367
3.86,0.047845,0.0459
3.88,0.048667,0.036249
3.9,0.049295,0.026452
3.92,0.049725,0.01655
3.94,0.049957,0.0065823
3.96,0.049988,-0.0034122
3.98,0.04982,-0.013393
4,0.049453,-0.02332
4.02,0.048887,-0.033154
4.04,0.048126,-0.042856
4.06,0.047173,-0.052386
4.08,0.046031,-0.061706
4.1,0.044705,-0.07078
4.12,0.0432,-0.07957
4.14,0.041522,-0.088042
4.16,0.039678,-0.096162
4.18,0.037676,-0.1039
4.2,0.035522,-0.11122
4.22,0.033227,-0.11809
4.24,0.030799,-0.12449
4.26,0.028247,-0.1304
4.28,0.025583,-0.13578
4.3,0.022816,-0.14062
4.32,0.019958,-0.1449
4.34,0.01702,-0.1486
4.36,0.014014,-0.1517
4.38,0.010952,-0.1542
4.4,0.0078459,-0.15608
4.42,0.0047087,-0.15733
4.44,0.0015526,-0.15796
4.46,-0.0016097,-0.15795
4.48,-0.0047655,-0.15732
4.5,-0.0079023,-0.15605
4.52,-0.011007,-0.15416
4.54,-0.014069,-0.15165
4.56,-0.017073,-0.14854
4.58,-0.02001,-0.14483
4.6,-0.022867,-0.14054
4.62,-0.025632,-0.13569
4.64,-0.028294,-0.1303
4.66,-0.030844,-0.12438
4.68,-0.03327,-0.11797
4.7,-0.035562,-0.11109
4.72,-0.037713,-0.10376
4.74,-0.039713,-0.096019
4.76,-0.041554,-0.087892
4.78,-0.043229,-0.079414
4.8,-0.04473,-0.070618
4.82,-0.046053,-0.06154
4.84,-0.047192,-0.052215
4.86,-0.048142,-0.042682
4.88,-0.048899,-0.032978
4.9,-0.049461,-0.023142
4.92,-0.049825,-0.013213
4.94,-0.04999,-0.0032317
4.96,-0.049954,0.0067627
4.98,-0.049719,0.01673
5,-0.049285,0.02663
5.02,-0.048654,0.036424
5.04,-0.047828,0.046072
5.06,-0.046811,0.055536
5.08,-0.045607,0.064778
5.1,-0.04422,0.073761
5.12,-0.042656,0.082448
5.14,-0.040922,0.090806
5.16,-0.039024,0.098801
5.18,-0.03697,0.1064
5.2,-0.034768,0.11357
5.22,-0.032427,0.12029
5.24,-0.029956,0.12653
5.26,-0.027366,0.13226
5.28,-0.024666,0.13747
5.3,-0.021867,0.14212
5.32,-0.018981,0.1462
5.34,-0.016019,0.1497
5.36,-0.012993,0.15261
5.38,-0.0099145,0.1549
5.4,-0.0067967,0.15657
5.42,-0.0036518,0.15761
5.44,-0.00049222,0.15803
5.46,0.0026693,0.15781
5.48,0.0058202,0.15696
5.5,0.0089477,0.15548
5.52,0.01204,0.15338
5.54,0.015083,0.15067
5.56,0.018066,0.14736
5.58,0.020977,0.14345
5.6,0.023805,0.13898
5.62,0.026536,0.13394
5.64,0.029162,0.12837
5.66,0.031671,0.12229
5.68,0.034054,0.11572
5.7,0.0363,0.10868
5.72,0.038401,0.10121
5.74,0.040348,0.093335
5.76,0.042134,0.085087
5.78,0.043752,0.076498
5.8,0.045194,0.067604
5.82,0.046456,0.058439
5.84,0.047532,0.04904
5.86,0.048418,0.039445
5.88,0.04911,0.029692
5.9,0.049605,0.019821
5.92,0.049902,0.0098699
5.94,0.05,-0.00012035
5.96,0.049898,-0.01011
5.98,0.049596,-0.020059
6,0.049095,-0.029929
6.02,0.048398,-0.039678
6.04,0.047508,-0.049269
6.06,0.046428,-0.058662
6.08,0.045162,-0.067821
6.1,0.043715,-0.076709
6.12,0.042093,-0.085289
6.14,0.040303,-0.093529
6.16,0.038352,-0.10139
6.18,0.036247,-0.10885
6.2,0.033998,-0.11588
6.22,0.031612,-0.12244
6.24,0.0291,-0.12851
6.26,0.026472,-0.13407
6.28,0.023738,-0.13909
6.3,0.020908,-0.14355
6.32,0.017995,-0.14744
6.34,0.015011,-0.15075
6.36,0.011966,-0.15344
6.38,0.0088728,-0.15553
6.4,0.0057445,-0.15699
